comment,toxic,threat,insult,discrimination
"I can speak and vocally understand Urdu, but after spending some years in Canada, I've forgotten to read and write Urdu.",0,0,0,0
Do not make legal threats. People who try to use intimidation to get their way on Wikipedia are frequently blocked immediately and without warning. This will be your last warning.  (talk),0,0,0,0
"Most blogs are not regarded as reliable sources, as anyone can create a blog and write anything they like there. Looking at the three non-blog sources you mention, although they all contain some relevant material, as far as I can see none of them actually gives a comparison of speed of insertion and removal for AVL and red-black trees, which is what is needed.",0,0,0,0
"The average response time to vandalism seems to be almost two hours. Not good at all. Especially given how my edits are reverted the next minute, even when I cite a thousand sources relevant to the topic. Perhaps if I edited this article I could cause it to get protected. It would be out of prejudice towards me, but the result would be the same: it would get protected from that vandal.",0,0,0,0
")
Suck your dead mums toe- regards- Your Dad",1,0,0,0
"See you 

Lousy cunt",1,0,1,0
You cant block me you fucking retard. BRB nigger,1,0,1,1
"Listen you piece of shit , pencil necked twerp that you are. Nowhere did I make any further attacks to anyone. How about you get a fuckin life rather than getting a little stiffy from banning people. I couldnt give a slight fuck about your lame arse wiki. Its bullshit anyways. You people just like reading your own crap. Brisbane is a fuckin small place and google is a great tool. 

Yet another christian piece of shit. I shit on your god you little fuck.",1,0,1,1
"You're not Hitler, just just another idiot!",1,0,1,0
"Why are you still here? Can you not find anything more important to do, like killing yourself?",1,1,0,0
"@ Good! Just tell me how delete my account so I can get away from you and 's harassment and abuse. You two have made a powerful and unstoppable enemy once I find who your identities are and if you even come to Washington state. I will destroy you guys' life once I find your identities and you know what I am strong and powerful than you and I am not vandalizing pages like everyone else is on this site, just doing what anyone would do.",0,1,0,0
"""

 The video is available from YouTube under the title """"1939 German-Soviet troop parade in Brest Litovsk"""" In YouTube the video clip can be blown up to full-screen size. Runtime:02:14. Original commentary in German would require translation. There's also another video clip in YouTube called Nazis and Soviets in occupied Poland in 1939 with still photographs from the invasion. Runtime 02:42. It has a fairly good resolution which would allow for a series of screen-shots to be uploaded to Commons.  talk """,0,0,0,0
Is it true you go by the username: Someguy1221?,0,0,0,0
"I suggest to you, Dori , that you give it up,youre an idiot",1,0,1,0
"""

  Nazi Germany and """"real Germany"""" are identical, you ḟucking reṯard. 

You are a Nazi apologist. Go die in a fire.""",1,1,1,1
"With a view to seeking community consensus, I have raised an RfC at Wikipedia talk:Collaborations#RfC: Should the collaboration template appear on the article page .",0,0,0,0
That figures. You're the disruptive one with the POV problems who stalks other Wikipedians.,0,0,0,0
charge $21 dollars an hour.,0,0,0,0
"The cat is out of the bag. User ALR admitted his CONFLICT position, its on WIKI for all to see.",0,0,0,0
"My Thoughts 

You're a fucking piece of shit! Die and Burn in hell!",1,1,1,0
"""

 fdsgdfgfd 

  why don't you die?   talk """,1,1,1,0
reason why you remvoed my stuff,0,0,0,0
"""
Christians
What about all the idiot Christians who will come on this page and claim that this thing never existed and they'll just change the article to one big """"GOOOOOOOOOOOOOOD DIIIIIIIIIIID IIIIIIIIIIIIT""""? Fucking stupid Christians, they believe dinosaurs didn't exist and their whole ignorant faith should be wiped off the face of the earth.""",1,1,1,1
"""

 Thank you for wearing mesh underwear to bed last night 

You were amazing.  — Preceding unsigned comment added by  (talk • contribs)  """,0,0,0,0
"Hobo the Dodo, you have little authority, you are warned, you cannot stop TVHOSTED.",0,0,0,0
No need for further discussion. Check recent edits that make the issue moot.,0,0,0,0
