comment,toxic,threat,insult,discrimination,clean_comment,tokens
"I can speak and vocally understand Urdu, but after spending some years in Canada, I've forgotten to read and write Urdu.",0,0,0,0,i can speak and vocally understand urdu but after spending some years in canada ive forgotten to read and write urdu,"['speak', 'vocally', 'understand', 'urdu', 'spending', 'years', 'canada', 'ive', 'forgotten', 'read', 'write', 'urdu']"
Do not make legal threats. People who try to use intimidation to get their way on Wikipedia are frequently blocked immediately and without warning. This will be your last warning.  (talk),0,0,0,0,do not make legal threats people who try to use intimidation to get their way on wikipedia are frequently blocked immediately and without warning this will be your last warning  talk,"['make', 'legal', 'threats', 'people', 'try', 'use', 'intimidation', 'way', 'wikipedia', 'frequently', 'blocked', 'immediately', 'warning', 'warning', 'talk']"
"Most blogs are not regarded as reliable sources, as anyone can create a blog and write anything they like there. Looking at the three non-blog sources you mention, although they all contain some relevant material, as far as I can see none of them actually gives a comparison of speed of insertion and removal for AVL and red-black trees, which is what is needed.",0,0,0,0,most blogs are not regarded as reliable sources as anyone can create a blog and write anything they like there looking at the three nonblog sources you mention although they all contain some relevant material as far as i can see none of them actually gives a comparison of speed of insertion and removal for avl and redblack trees which is what is needed,"['blogs', 'regarded', 'reliable', 'sources', 'create', 'blog', 'write', 'like', 'looking', 'nonblog', 'sources', 'mention', 'contain', 'relevant', 'material', 'far', 'actually', 'gives', 'comparison', 'speed', 'insertion', 'removal', 'avl', 'redblack', 'trees', 'needed']"
"The average response time to vandalism seems to be almost two hours. Not good at all. Especially given how my edits are reverted the next minute, even when I cite a thousand sources relevant to the topic. Perhaps if I edited this article I could cause it to get protected. It would be out of prejudice towards me, but the result would be the same: it would get protected from that vandal.",0,0,0,0,the average response time to vandalism seems to be almost two hours not good at all especially given how my edits are reverted the next minute even when i cite a thousand sources relevant to the topic perhaps if i edited this article i could cause it to get protected it would be out of prejudice towards me but the result would be the same it would get protected from that vandal,"['average', 'response', 'time', 'vandalism', 'hours', 'good', 'especially', 'given', 'edits', 'reverted', 'minute', 'cite', 'thousand', 'sources', 'relevant', 'topic', 'edited', 'article', 'cause', 'protected', 'prejudice', 'result', 'protected', 'vandal']"
")
Suck your dead mums toe- regards- Your Dad",1,0,0,0,"
suck your dead mums toe regards your dad","['suck', 'dead', 'mums', 'toe', 'regards', 'dad']"
"See you 

Lousy cunt",1,0,1,0,"see you 

lousy cunt","['lousy', 'cunt']"
You cant block me you fucking retard. BRB nigger,1,0,1,1,you cant block me you fucking retard brb nigger,"['block', 'fucking', 'retard', 'brb', 'nigger']"
"Listen you piece of shit , pencil necked twerp that you are. Nowhere did I make any further attacks to anyone. How about you get a fuckin life rather than getting a little stiffy from banning people. I couldnt give a slight fuck about your lame arse wiki. Its bullshit anyways. You people just like reading your own crap. Brisbane is a fuckin small place and google is a great tool. 

Yet another christian piece of shit. I shit on your god you little fuck.",1,0,1,1,"listen you piece of shit  pencil necked twerp that you are nowhere did i make any further attacks to anyone how about you get a fuckin life rather than getting a little stiffy from banning people i couldnt give a slight fuck about your lame arse wiki its bullshit anyways you people just like reading your own crap brisbane is a fuckin small place and google is a great tool 

yet another christian piece of shit i shit on your god you little fuck","['listen', 'piece', 'shit', 'pencil', 'necked', 'twerp', 'did', 'make', 'attacks', 'fuckin', 'life', 'getting', 'little', 'stiffy', 'banning', 'people', 'slight', 'fuck', 'lame', 'arse', 'wiki', 'bullshit', 'anyways', 'people', 'just', 'like', 'reading', 'crap', 'brisbane', 'fuckin', 'small', 'place', 'google', 'great', 'tool', 'christian', 'piece', 'shit', 'shit', 'god', 'little', 'fuck']"
"You're not Hitler, just just another idiot!",1,0,1,0,youre not hitler just just another idiot,"['youre', 'hitler', 'just', 'just', 'idiot']"
"Why are you still here? Can you not find anything more important to do, like killing yourself?",1,1,0,0,why are you still here can you not find anything more important to do like killing yourself,"['important', 'like', 'killing']"
"@ Good! Just tell me how delete my account so I can get away from you and 's harassment and abuse. You two have made a powerful and unstoppable enemy once I find who your identities are and if you even come to Washington state. I will destroy you guys' life once I find your identities and you know what I am strong and powerful than you and I am not vandalizing pages like everyone else is on this site, just doing what anyone would do.",0,1,0,0, good just tell me how delete my account so i can get away from you and s harassment and abuse you two have made a powerful and unstoppable enemy once i find who your identities are and if you even come to washington state i will destroy you guys life once i find your identities and you know what i am strong and powerful than you and i am not vandalizing pages like everyone else is on this site just doing what anyone would do,"['good', 'just', 'tell', 'delete', 'account', 'away', 's', 'harassment', 'abuse', 'powerful', 'unstoppable', 'enemy', 'identities', 'come', 'washington', 'state', 'destroy', 'guys', 'life', 'identities', 'know', 'strong', 'powerful', 'vandalizing', 'pages', 'like', 'site', 'just', 'doing']"
